dictionary=main:en_us,locale=en_US,description=English (US),date=1414726260,version=54
 word=the,f=222
 word=process,f=149
 word=race,f=149
 word=radio,f=149
 word=range,f=149
 word=remained,f=149
 word=research,f=149
 word=return,f=149
 word=road,f=149
 word=sold,f=149
 word=songs,f=149
 word=upon,f=149
 word=video,f=149
 word=win,f=149
 word=aircraft,f=148
 word=almost,f=148
 word=appointed,f=148
 word=art,f=148
 word=black,f=148
 word=brother,f=148
 word=close,f=148
 word=completed,f=148
 word=construction,f=148
 word=countries,f=148
 word=daughter,f=148
 word=especially,f=148
 word=event,f=148
 word=famous,f=148
 word=females,f=148
 word=gave,f=148
 word=human,f=148
 word=involved,f=148
 word=itself,f=148
 word=killed,f=148
 word=leading,f=148
 word=light,f=148
 word=low,f=148
 word=match,f=148
 word=move,f=148
 word=official,f=148
 word=older,f=148
 word=performed,f=148
 word=players,f=148
 word=points,f=148
 word=possible,f=148
 word=project,f=148
 word=rather,f=148
 word=replaced,f=148
 word=round,f=148
 word=sent,f=148
 word=shows,f=148
 word=signed,f=148
 word=social,f=148
 word=sometimes,f=148
 word=special,f=148
 word=square,f=148
 word=states,f=148
 word=success,f=148
 word=successful,f=148
 word=track,f=148
 word=training,f=148
 word=units,f=148
 word=white,f=148
 word=action,f=147
 word=added,f=147
 word=attack,f=147
 word=below,f=147
 word=brought,f=147
 word=car,f=147
 word=census,f=147
 word=center,f=147
 word=central,f=147
 word=change,f=147
 word=changed,f=147
 word=county,f=147
 word=decided,f=147
 word=episode,f=147
 word=ever,f=147
 word=fact,f=147
 word=far,f=147
 word=fire,f=147
 word=force,f=147
 word=generally,f=147
 word=hand,f=147
 word=instead,f=147
 word=introduced,f=147
 word=least,f=147
 word=mid,f=147
 word=model,f=147
 word=mother,f=147
 word=outside,f=147
 word=parts,f=147
 word=performance,f=147
 word=post,f=147
 word=private,f=147
 word=professional,f=147
 word=provide,f=147
 word=provided,f=147
 word=rock,f=147
 word=saw,f=147
 word=seven,f=147
 word=soon,f=147
 word=space,f=147
 word=stage,f=147
 word=study,f=147
 word=systems,f=147
 word=teams,f=147
 word=thus,f=147
 word=type,f=147
 word=whose,f=147
 word=women,f=147
 word=allowed,f=146
 word=base,f=146
 word=battle,f=146
 word=beginning,f=146
 word=behind,f=146
 word=books,f=146
 word=college,f=146
 word=court,f=146
 word=data,f=146
 word=debut,f=146
 word=degree,f=146
 word=director,f=146
 word=eight,f=146
 word=female,f=146
 word=find,f=146
 word=front,f=146
 word=ground,f=146
 word=higher,f=146
 word=industry,f=146
 word=interest,f=146
 word=island,f=146
 word=league,f=146
 word=lived,f=146
 word=market,f=146
 word=movement,f=146
 word=night,f=146
 word=owned,f=146
 word=person,f=146
 word=placed,f=146
 word=president,f=146
 word=previous,f=146
 word=primary,f=146
 word=reached,f=146
 word=real,f=146
 word=related,f=146
 word=reported,f=146
 word=river,f=146
 word=runs,f=146
 word=standard,f=146
 word=strong,f=146
 word=traditional,f=146
 word=we've,f=146
 word=winning,f=146
 word=active,f=145
 word=always,f=145
 word=approximately,f=145
 word=army,f=145
 word=awarded,f=145
 word=buildings,f=145
 word=campaign,f=145
 word=capital,f=145
 word=care,f=145
 word=characters,f=145
 word=earlier,f=145
 word=entire,f=145
 word=films,f=145
 word=finished,f=145
 word=future,f=145
 word=gone,f=145
 word=independent,f=145
 word=leader,f=145
 word=let's,f=145
 word=list,f=145
 word=lower,f=145
 word=maybe,f=145
 word=money,f=145
 word=natural,f=145
 word=network,f=145
 word=north,f=145
 word=northern,f=145
 word=novel,f=145
 word=numerous,f=145
 word=operations,f=145
 word=particularly,f=145
 word=past,f=145
 word=police,f=145
 word=practice,f=145
 word=referred,f=145
 word=regular,f=145
 word=required,f=145
 word=rest,f=145
 word=rights,f=145
 word=route,f=145
 word=running,f=145
 word=section,f=145
 word=significant,f=145
 word=southern,f=145
 word=spokesman,f=145
 word=start,f=145
 word=stated,f=145
 word=stop,f=145
 word=student,f=145
 word=summer,f=145
 word=taking,f=145
 word=ten,f=145
 word=terms,f=145
 word=text,f=145
 word=today,f=145
 word=told,f=145
 word=via,f=145
 word=whom,f=145
 word=wide,f=145
 word=word,f=145
 word=world,f=145
 word=writing,f=145
 word=according,f=144
 word=activities,f=144
 word=already,f=144
 word=also,f=144
 word=appearance,f=144
 word=appears,f=144
 word=associated,f=144
 word=attended,f=144
 word=better,f=144
 word=caused,f=144
 word=centre,f=144
 word=certain,f=144
 word=changes,f=144
 word=closed,f=144
 word=coach,f=144
 word=coming,f=144
 word=commercial,f=144
 word=companies,f=144
 word=complete,f=144
 word=contains,f=144
 word=contract,f=144
 word=couldn't,f=144
 word=course,f=144
 word=cover,f=144
 word=culture,f=144
 word=date,f=144
 word=defeated,f=144
 word=density,f=144
 word=directed,f=144
 word=division,f=144
 word=economic,f=144
 word=ended,f=144
 word=energy,f=144
 word=food,f=144
 word=forced,f=144
 word=fourth,f=144
 word=give,f=144
 word=goal,f=144
 word=highest,f=144
 word=individuals,f=144
 word=issue,f=144
 word=issues,f=144
 word=known,f=144
 word=larger,f=144
 word=length,f=144
 word=limited,f=144
 word=lines,f=144
 word=location,f=144
 word=longer,f=144
 word=majority,f=144
 word=miles,f=144
 word=mostly,f=144
 word=movie,f=144
 word=municipality,f=144
 word=names,f=144
 word=organization,f=144
 word=particular,f=144
 word=previously,f=144
 word=programs,f=144
 word=races,f=144
 word=rate,f=144
 word=recent,f=144
 word=remains,f=144
 word=role,f=144
 word=seat,f=144
 word=self,f=144
 word=shown,f=144
 word=spent,f=144
 word=structure,f=144
 word=themselves,f=144
 word=theory,f=144
 word=thought,f=144
 word=tour,f=144
 word=towards,f=144
 word=uses,f=144
 word=want,f=144
 word=week,f=144
 word=western,f=144
 word=access,f=143
 word=additional,f=143
 word=attempt,f=143
 word=becoming,f=143
 word=believed,f=143
 word=board,f=143
 word=cases,f=143
 word=child,f=143
 word=claimed,f=143
 word=collection,f=143
 word=competition,f=143
 word=create,f=143
 word=effect,f=143
 word=entered,f=143
 word=feature,f=143
 word=finally,f=143
 word=forms,f=143
 word=health,f=143
 word=hence,f=143
 word=hours,f=143
 word=household,f=143
 word=housing,f=143
 word=husband,f=143
 word=increased,f=143
 word=individual,f=143
 word=magazine,f=143
 word=mainly,f=143
 word=males,f=143
 word=material,f=143
 word=meaning,f=143
 word=media,f=143
 word=might,f=143
 word=mile,f=143
 word=musical,f=143
 word=nearly,f=143
 word=need,f=143
 word=noted,f=143
 word=offered,f=143
 word=opening,f=143
 word=operated,f=143
 word=park,f=143
 word=passed,f=143
 word=personal,f=143
 word=plays,f=143
 word=problems,f=143
 word=property,f=143
 word=provides,f=143
 word=railway,f=143
 word=ran,f=143
 word=recently,f=143
 word=red,f=143
 word=relationship,f=143
 word=religious,f=143
 word=room,f=143
 word=science,f=143
 word=scored,f=143
 word=sea,f=143
 word=separate,f=143
 word=sound,f=143
 word=source,f=143
 word=speed,f=143
 word=stations,f=143
 word=status,f=143
 word=takes,f=143
 word=trade,f=143
 word=turn,f=143
 word=turned,f=143
 word=unit,f=143
 word=variety,f=143
 word=view,f=143
 word=actually,f=142
 word=allow,f=142
 word=alone,f=142
 word=annual,f=142
 word=anti,f=142
 word=appear,f=142
 word=aren't,f=142
 word=artists,f=142
 word=author,f=142
 word=call,f=142
 word=carried,f=142
 word=cause,f=142
 word=cities,f=142
 word=command,f=142
 word=complex,f=142
 word=consists,f=142
 word=cost,f=142
 word=decision,f=142
 word=directly,f=142
 word=done,f=142
 word=eastern,f=142
 word=enough,f=142
 word=evidence,f=142
 word=failed,f=142
 word=friend,f=142
 word=heavy,f=142
 word=helped,f=142
 word=highly,f=142
 word=hold,f=142
 word=increase,f=142
 word=influence,f=142
 word=launched,f=142
 word=legal,f=142
 word=loss,f=142
 word=makes,f=142
 word=management,f=142
 word=manager,f=142
 word=mean,f=142
 word=middle,f=142
 word=month,f=142
 word=myself,f=142
 word=news,f=142
 word=numbers,f=142
 word=plan,f=142
 word=policy,f=142
 word=quickly,f=142
 word=recording,f=142
 word=represented,f=142
 word=results,f=142
 word=shot,f=142
 word=specific,f=142
 word=sports,f=142
 word=spread,f=142
 word=staff,f=142
 word=studies,f=142
 word=studio,f=142
 word=subject,f=142
 word=supported,f=142
 word=surface,f=142
 word=troops,f=142
 word=university,f=142
 word=value,f=142
 word=victory,f=142
 word=weeks,f=142
 word=whole,f=142
 word=words,f=142
 word=wouldn't,f=142
 word=writer,f=142
 word=act,f=141
 word=analysts,f=141
 word=ancient,f=141
 word=arrived,f=141
 word=artist,f=141
 word=asked,f=141
 word=award,f=141
 word=bridge,f=141
 word=broadcast,f=141
 word=campus,f=141
 word=cents,f=141
 word=commonly,f=141
 word=computer,f=141
 word=conditions,f=141
 word=covered,f=141
 word=cut,f=141
 word=deal,f=141
 word=despite,f=141
 word=direct,f=141
 word=discovered,f=141
 word=earnings,f=141
 word=edition,f=141
 word=elements,f=141
 word=experience,f=141
 word=face,f=141
 word=fall,f=141
 word=federal,f=141
 word=fight,f=141
 word=financial,f=141
 word=foreign,f=141
 word=friends,f=141
 word=function,f=141
 word=goals,f=141
 word=historical,f=141
 word=houses,f=141
 word=idea,f=141
 word=initially,f=141
 word=king,f=141
 word=leave,f=141
 word=levels,f=141
 word=listed,f=141
 word=managed,f=141
 word=medical,f=141
 word=meeting,f=141
 word=minutes,f=141
 word=native,f=141
 word=nature,f=141
 word=nearby,f=141
 word=nine,f=141
 word=notable,f=141
 word=operation,f=141
 word=our,f=141
 word=parents,f=141
 word=plans,f=141
 word=plant,f=141
 word=presented,f=141
 word=primarily,f=141
 word=produce,f=141
 word=products,f=141
 word=raised,f=141
 word=remaining,f=141
 word=residents,f=141
 word=responsible,f=141
 word=retired,f=141
 word=rule,f=141
 word=scene,f=141
 word=school,f=141
 word=seasons,f=141
 word=serving,f=141
 word=ships,f=141
 word=singer,f=141
 word=sister,f=141
 word=smaller,f=141
 word=society,f=141
 word=studied,f=141
 word=subsequently,f=141
 word=technology,f=141
 word=tracks,f=141
 word=train,f=141
 word=typically,f=141
 word=whether,f=141
 word=widely,f=141
 word=woman,f=141
 word=yet,f=141
 word=young,f=141
 word=yourself,f=141
 word=ability,f=140
 word=basis,f=140
 word=border,f=140
 word=bye,f=140
 word=cast,f=140
 word=chief,f=140
 word=civil,f=140
 word=coast,f=140
 word=comes,f=140
 word=composed,f=140
 word=constructed,f=140
 word=continue,f=140
 word=cross,f=140
 word=de,f=140
 word=destroyed,f=140
 word=divided,f=140
 word=double,f=140
 word=earned,f=140
 word=effects,f=140
 word=engine,f=140
 word=era,f=140
 word=except,f=140
 word=facilities,f=140
 word=format,f=140
 word=growth,f=140
 word=hear,f=140
 word=hit,f=140
 word=immediately,f=140
 word=intended,f=140
 word=issued,f=140
 word=keep,f=140
 word=label,f=140
 word=languages,f=140
 word=largely,f=140
 word=latter,f=140
 word=leaving,f=140
 word=likely,f=140
 word=lives,f=140
 word=male,f=140
 word=marriage,f=140
 word=mentioned,f=140
 word=method,f=140
 word=mission,f=140
 word=needed,f=140
 word=offers,f=140
 word=officer,f=140
 word=oil,f=140
 word=please,f=140
 word=pressure,f=140
 word=prior,f=140
 word=probably,f=140
 word=problem,f=140
 word=proposed,f=140
 word=province,f=140
 word=quality,f=140
 word=records,f=140
 word=report,f=140
 word=response,f=140
 word=selected,f=140
 word=senior,f=140
 word=serve,f=140
 word=simply,f=140
 word=site,f=140
 word=star,f=140
 word=starting,f=140
 word=stories,f=140
 word=therefore,f=140
 word=true,f=140
 word=types,f=140
 word=vote,f=140
 word=wanted,f=140
 word=war,f=140
 word=accepted,f=139
 word=acquired,f=139
 word=actor,f=139
 word=adopted,f=139
 word=article,f=139
 word=attention,f=139
 word=becomes,f=139
 word=build,f=139
 word=cannot,f=139
 word=cars,f=139
 word=case,f=139
 word=championship,f=139
 word=channel,f=139
 word=charge,f=139
 word=clear,f=139
 word=concept,f=139
 word=continues,f=139
 word=council,f=139
 word=cultural,f=139
 word=defined,f=139
 word=difficult,f=139
 word=direction,f=139
 word=distance,f=139
 word=efforts,f=139
 word=equipment,f=139
 word=extended,f=139
 word=feet,f=139
 word=flight,f=139
 word=follows,f=139
 word=formerly,f=139
 word=full,f=139
 word=gained,f=139
 word=giving,f=139
 word=greater,f=139
 word=grew,f=139
 word=guitar,f=139
 word=guys,f=139
 word=hard,f=139
 word=host,f=139
 word=initial,f=139
 word=inside,f=139
 word=lack,f=139
 word=letter,f=139
 word=lies,f=139
 word=masks,f=139
 word=metal,f=139
 word=minor,f=139
 word=models,f=139
 word=moving,f=139
 word=multiple,f=139
 word=newspaper,f=139
 word=officers,f=139
 word=officially,f=139
 word=operating,f=139
 word=ordered,f=139
 word=overall,f=139
 word=paper,f=139
 word=pass,f=139
 word=physical,f=139
 word=places,f=139
 word=poor,f=139
 word=producer,f=139
 word=product,f=139
 word=projects,f=139
 word=prominent,f=139
 word=pub,f=139
 word=purpose,f=139
 word=regional,f=139
 word=remain,f=139
 word=removed,f=139
 word=revealed,f=139
 word=score,f=139
 word=serves,f=139
 word=software,f=139
 word=soldiers,f=139
 word=someone,f=139
 word=tournament,f=139
 word=unique,f=139
 word=upper,f=139
 word=vaccine,f=139
 word=versions,f=139
 word=voice,f=139
 word=account,f=138
 word=activity,f=138
 word=administration,f=138
 word=agreed,f=138
 word=allows,f=138
 word=appearances,f=138
 word=approach,f=138
 word=arms,f=138
 word=assigned,f=138
 word=begins,f=138
 word=blood,f=138
 word=blue,f=138
 word=branch,f=138
 word=candidate,f=138
 word=capacity,f=138
 word=captured,f=138
 word=claims,f=138
 word=classes,f=138
 word=code,f=138
 word=color,f=138
 word=combined,f=138
 word=communities,f=138
 word=completely,f=138
 word=crew,f=138
 word=dance,f=138
 word=declared,f=138
 word=dedicated,f=138
 word=defeat,f=138
 word=definitely,f=138
 word=department,f=138
 word=distribution,f=138
 word=elections,f=138
 word=fans,f=138
 word=featuring,f=138
 word=fell,f=138
 word=fifth,f=138
 word=figure,f=138
 word=frequently,f=138
 word=gas,f=138
 word=gives,f=138
 word=graduated,f=138
 word=green,f=138
 word=growing,f=138
 word=haven't,f=138
 word=heart,f=138
 word=image,f=138
 word=job,f=138
 word=join,f=138
 word=kept,f=138
 word=know,f=138
 word=knowledge,f=138
 word=leaders,f=138
 word=let,f=138
 word=little,f=138
 word=mass,f=138
 word=matches,f=138
 word=meat,f=138
 word=offer,f=138
 word=parties,f=138
 word=pay,f=138
 word=percent,f=138
 word=planned,f=138
 word=potential,f=138
 word=powerful,f=138
 word=presence,f=138
 word=purchased,f=138
 word=put,f=138
 word=reach,f=138
 word=reason,f=138
 word=recognized,f=138
 word=relatively,f=138
 word=resulted,f=138
 word=resulting,f=138
 word=rules,f=138
 word=saying,f=138
 word=says,f=138
 word=scale,f=138
 word=secondary,f=138
 word=security,f=138
 word=she's,f=138
 word=situated,f=138
 word=sources,f=138
 word=street,f=138
 word=suffered,f=138
 word=surrounding,f=138
 word=tells,f=138
 word=territory,f=138
 word=things,f=138
 word=titles,f=138
 word=tradition,f=138
 word=traffic,f=138
 word=transferred,f=138
 word=treatment,f=138
 word=tried,f=138
 word=welcome,f=138
 word=wing,f=138
 word=workers,f=138
 word=academic,f=137
 word=acting,f=137
 word=agreement,f=137
 word=allowing,f=137
 word=applied,f=137
 word=attacks,f=137
 word=ball,f=137
 word=bank,f=137
 word=big,f=137
 word=birth,f=137
 word=break,f=137
 word=claim,f=137
 word=clubs,f=137
 word=compared,f=137
 word=conducted,f=137
 word=connected,f=137
 word=creation,f=137
 word=critical,f=137
 word=damage,f=137
 word=dead,f=137
 word=designated,f=137
 word=develop,f=137
 word=drive,f=137
 word=editor,f=137
 word=effort,f=137
 word=enemy,f=137
 word=entitled,f=137
 word=estate,f=137
 word=estimated,f=137
 word=excited,f=137
 word=existing,f=137
 word=expanded,f=137
 word=expected,f=137
 word=fellow,f=137
 word=fighting,f=137
 word=floor,f=137
 word=focus,f=137
 word=follow,f=137
 word=forward,f=137
 word=founder,f=137
 word=fully,f=137
 word=goes,f=137
 word=granted,f=137
 word=hands,f=137
 word=hasn't,f=137
 word=hospital,f=137
 word=hour,f=137
 word=ice,f=137
 word=industrial,f=137
 word=leadership,f=137
 word=leaves,f=137
 word=literature,f=137
 word=machine,f=137
 word=necessary,f=137
 word=newly,f=137
 word=normal,f=137
 word=occupied,f=137
 word=occur,f=137
 word=occurred,f=137
 word=oldest,f=137
 word=organizations,f=137
 word=organized,f=137
 word=owner,f=137
 word=paid,f=137
 word=parish,f=137
 word=piece,f=137
 word=portion,f=137
 word=powers,f=137
 word=promoted,f=137
 word=providing,f=137
 word=quite,f=137
 word=read,f=137
 word=receive,f=137
 word=reduced,f=137
 word=reference,f=137
 word=refers,f=137
 word=refused,f=137
 word=respectively,f=137
 word=say,f=137
 word=sense,f=137
 word=settled,f=137
 word=settlement,f=137
 word=share,f=137
 word=simple,f=137
 word=situation,f=137
 word=solo,f=137
 word=something,f=137
 word=split,f=137
 word=spring,f=137
 word=stars,f=137
 word=stone,f=137
 word=store,f=137
 word=stuff,f=137
 word=succeeded,f=137
 word=suggested,f=137
 word=taught,f=137
 word=theme,f=137
 word=titled,f=137
 word=towns,f=137
 word=township,f=137
 word=trains,f=137
 word=travel,f=137
 word=trial,f=137
 word=twenty,f=137
 word=twice,f=137
 word=worldwide,f=137
 word=you'll,f=137
 word=achieved,f=136
 word=advanced,f=136
 word=airport,f=136
 word=alongside,f=136
 word=amazing,f=136
 word=amid,f=136
 word=analysis,f=136
 word=animals,f=136
 word=arts,f=136
 word=attempted,f=136
 word=attempts,f=136
 word=audience,f=136
 word=authority,f=136
 word=awards,f=136
 word=bands,f=136
 word=basic,f=136
 word=basketball,f=136
 word=believe,f=136
 word=bought,f=136
 word=bring,f=136
 word=broke,f=136
 word=buried,f=136
 word=bus,f=136
 word=camp,f=136
 word=cell,f=136
 word=cells,f=136
 word=centuries,f=136
 word=chart,f=136
 word=chosen,f=136
 word=click,f=136
 word=concert,f=136
 word=contemporary,f=136
 word=content,f=136
 word=covers,f=136
 word=derived,f=136
 word=digital,f=136
 word=disease,f=136
 word=distancing,f=136
 word=dropped,f=136
 word=economy,f=136
 word=effective,f=136
 word=employed,f=136
 word=environment,f=136
 word=executive,f=136
 word=exist,f=136
 word=extensive,f=136
 word=facility,f=136
 word=felt,f=136
 word=fields,f=136
 word=figures,f=136
 word=fish,f=136
 word=formation,f=136
 word=fought,f=136
 word=functions,f=136
 word=generation,f=136
 word=gun,f=136
 word=headquarters,f=136
 word=highway,f=136
 word=holds,f=136
 word=hosted,f=136
 word=I'd,f=136
 word=identified,f=136
 word=kind,f=136
 word=laws,f=136
 word=letters,f=136
 word=look,f=136
 word=losing,f=136
 word=marked,f=136
 word=materials,f=136
 word=matter,f=136
 word=meanwhile,f=136
 word=memory,f=136
 word=methods,f=136
 word=mixed,f=136
 word=morning,f=136
 word=mountain,f=136
 word=opposed,f=136
 word=opposition,f=136
 word=origin,f=136
 word=perform,f=136
 word=performances,f=136
 word=performing,f=136
 word=plants,f=136
 word=politics,f=136
 word=port,f=136
 word=positions,f=136
 word=positive,f=136
 word=poverty,f=136
 word=press,f=136
 word=prevent,f=136
 word=prison,f=136
 word=programming,f=136
 word=proved,f=136
 word=question,f=136
 word=racial,f=136
 word=ranked,f=136
 word=regions,f=136
 word=roles,f=136
 word=rural,f=136
 word=sales,f=136
 word=scientific,f=136
 word=sector,f=136
 word=semi,f=136
 word=showed,f=136
 word=sides,f=136
 word=sign,f=136
 word=singles,f=136
 word=sites,f=136
 word=stand,f=136
 word=subsequent,f=136
 word=tax,f=136
 word=teacher,f=136
 word=teaching,f=136
 word=transport,f=136
 word=tree,f=136
 word=urban,f=136
 word=visit,f=136
 word=ways,f=136
 word=we'll,f=136
 word=winter,f=136
 word=yards,f=136
