dictionary=main:en,locale=en,description=English,date=1414726273,version=54
 word=the,f=111
 word=made,f=42
 word=many,f=42
 word=part,f=42
 word=under,f=42
 word=through,f=41
 word=area,f=41
 word=both,f=41
 word=name,f=41
 word=before,f=41
 word=fine,f=41
 word=second,f=41
 word=until,f=41
 word=while,f=41
 word=against,f=41
 word=age,f=41
 word=city,f=41
 word=may,f=41
 word=number,f=41
 word=season,f=41
 word=several,f=41
 word=team,f=41
 word=born,f=40
 word=early,f=40
 word=family,f=40
 word=same,f=40
 word=four,f=40
 word=life,f=40
 word=since,f=40
 word=state,f=40
 word=began,f=40
 word=century,f=40
 word=each,f=40
 word=end,f=40
 word=found,f=40
 word=game,f=40
 word=high,f=40
 word=town,f=40
 word=did,f=40
 word=group,f=40
 word=here,f=40
 word=home,f=40
 word=large,f=40
 word=love,f=40
 word=music,f=40
 word=often,f=40
 word=system,f=40
 word=three,f=40
 word=too,f=40
 word=yes,f=40
 word=place,f=39
 word=include,f=39
 word=left,f=39
 word=line,f=39
 word=long,f=39
 word=off,f=39
 word=own,f=39
 word=small,f=39
 word=still,f=39
 word=those,f=39
 word=took,f=39
 word=band,f=39
 word=form,f=39
 word=held,f=39
 word=last,f=39
 word=major,f=39
 word=much,f=39
 word=set,f=39
 word=show,f=39
 word=single,f=39
 word=station,f=39
 word=won't,f=39
 word=company,f=39
 word=death,f=39
 word=down,f=39
 word=five,f=39
 word=main,f=39
 word=original,f=39
 word=again,f=39
 word=best,f=39
 word=history,f=39
 word=late,f=39
 word=led,f=39
 word=near,f=39
 word=old,f=39
 word=order,f=39
 word=play,f=39
 word=power,f=39
 word=said,f=39
 word=side,f=39
 word=third,f=39
 word=water,f=39
 word=level,f=38
 word=children,f=38
 word=son,f=38
 word=among,f=38
 word=book,f=38
 word=came,f=38
 word=every,f=38
 word=few,f=38
 word=final,f=38
 word=got,f=38
 word=land,f=38
 word=period,f=38
 word=south,f=38
 word=support,f=38
 word=village,f=38
 word=wait,f=38
 word=went,f=38
 word=country,f=38
 word=example,f=38
 word=law,f=38
 word=million,f=38
 word=next,f=38
 word=point,f=38
 word=present,f=38
 word=record,f=38
 word=six,f=38
 word=top,f=38
 word=total,f=38
 word=written,f=38
 word=father,f=38
 word=general,f=38
 word=right,f=38
 word=run,f=38
 word=short,f=38
 word=term,f=38
 word=though,f=38
 word=together,f=38
 word=class,f=38
 word=common,f=38
 word=control,f=38
 word=east,f=38
 word=great,f=38
 word=half,f=38
 word=head,f=38
 word=house,f=38
 word=language,f=38
 word=men,f=38
 word=never,f=38
 word=position,f=38
 word=region,f=38
 word=result,f=38
 word=should,f=38
 word=similar,f=38
 word=west,f=38
 word=wrote,f=38
 word=character,f=37
 word=current,f=37
 word=does,f=37
 word=field,f=37
 word=less,f=37
 word=live,f=37
 word=lost,f=37
 word=man,f=37
 word=modern,f=37
 word=once,f=37
 word=party,f=37
 word=size,f=37
 word=story,f=37
 word=air,f=37
 word=design,f=37
 word=either,f=37
 word=free,f=37
 word=meet,f=37
 word=open,f=37
 word=sure,f=37
 word=wife,f=37
 word=above,f=37
 word=help,f=37
 word=lead,f=37
 word=office,f=37
 word=process,f=37
 word=race,f=37
 word=radio,f=37
 word=range,f=37
 word=rather,f=37
 word=road,f=37
 word=win,f=37
 word=art,f=37
 word=black,f=37
 word=brother,f=37
 word=close,f=37
 word=especially,f=37
 word=event,f=37
 word=famous,f=37
 word=gave,f=37
 word=human,f=37
 word=light,f=37
 word=low,f=37
 word=match,f=37
 word=move,f=37
 word=possible,f=37
 word=round,f=37
 word=sent,f=37
 word=special,f=37
 word=square,f=37
 word=success,f=37
 word=track,f=37
 word=white,f=37
 word=seven,f=36
 word=brought,f=36
 word=car,f=36
 word=center,f=36
 word=change,f=36
 word=ever,f=36
 word=fact,f=36
 word=far,f=36
 word=fire,f=36
 word=force,f=36
 word=hand,f=36
 word=least,f=36
 word=market,f=36
 word=mother,f=36
 word=post,f=36
 word=provide,f=36
 word=rock,f=36
 word=saw,f=36
 word=soon,f=36
 word=space,f=36
 word=study,f=36
 word=thus,f=36
 word=type,f=36
 word=whose,f=36
 word=women,f=36
 word=base,f=36
 word=behind,f=36
 word=degree,f=36
 word=eight,f=36
 word=find,f=36
 word=front,f=36
 word=ground,f=36
 word=industry,f=36
 word=interest,f=36
 word=island,f=36
 word=night,f=36
 word=person,f=36
 word=real,f=36
 word=river,f=36
 word=strong,f=36
 word=always,f=36
 word=capital,f=36
 word=care,f=36
 word=gone,f=36
 word=list,f=36
 word=money,f=36
 word=natural,f=36
 word=north,f=36
 word=past,f=36
 word=rest,f=36
 word=section,f=36
 word=start,f=36
 word=stop,f=36
 word=student,f=36
 word=summer,f=36
 word=ten,f=36
 word=told,f=36
 word=wide,f=36
 word=word,f=36
 word=world,f=36
 word=better,f=36
 word=certain,f=36
 word=complete,f=36
 word=course,f=36
 word=cover,f=36
 word=division,f=36
 word=energy,f=36
 word=food,f=36
 word=length,f=36
 word=particular,f=36
 word=seat,f=36
 word=self,f=36
 word=thought,f=36
 word=week,f=36
 word=practice,f=36
 word=board,f=35
 word=child,f=35
 word=create,f=35
 word=effect,f=35
 word=material,f=35
 word=might,f=35
 word=mile,f=35
 word=need,f=35
 word=property,f=35
 word=ran,f=35
 word=red,f=35
 word=room,f=35
 word=science,f=35
 word=sea,f=35
 word=separate,f=35
 word=sound,f=35
 word=speed,f=35
 word=trade,f=35
 word=turn,f=35
 word=unit,f=35
 word=view,f=35
 word=allow,f=35
 word=appear,f=35
 word=call,f=35
 word=cause,f=35
 word=cost,f=35
 word=done,f=35
 word=enough,f=35
 word=friend,f=35
 word=heavy,f=35
 word=hold,f=35
 word=mean,f=35
 word=middle,f=35
 word=month,f=35
 word=plan,f=35
 word=spread,f=35
 word=subject,f=35
 word=surface,f=35
 word=value,f=35
 word=whole,f=35
 word=act,f=35
 word=chief,f=35
 word=cut,f=35
 word=deal,f=35
 word=direct,f=35
 word=experience,f=35
 word=face,f=35
 word=fall,f=35
 word=fight,f=35
 word=idea,f=35
 word=king,f=35
 word=leave,f=35
 word=nature,f=35
 word=nine,f=35
 word=plant,f=35
 word=produce,f=35
 word=rule,f=35
 word=school,f=35
 word=sister,f=35
 word=train,f=35
 word=whether,f=35
 word=woman,f=35
 word=yet,f=35
 word=young,f=35
 word=coast,f=35
 word=continue,f=35
 word=cross,f=35
 word=double,f=35
 word=engine,f=35
 word=except,f=35
 word=hear,f=35
 word=hit,f=35
 word=keep,f=35
 word=method,f=35
 word=oil,f=35
 word=please,f=35
 word=problem,f=35
 word=serve,f=35
 word=star,f=35
 word=true,f=35
 word=war,f=35
 word=build,f=34
 word=case,f=34
 word=charge,f=34
 word=clear,f=34
 word=difficult,f=34
 word=feet,f=34
 word=full,f=34
 word=grew,f=34
 word=hard,f=34
 word=letter,f=34
 word=metal,f=34
 word=paper,f=34
 word=pass,f=34
 word=poor,f=34
 word=product,f=34
 word=score,f=34
 word=voice,f=34
 word=blood,f=34
 word=blue,f=34
 word=branch,f=34
 word=color,f=34
 word=dance,f=34
 word=fell,f=34
 word=figure,f=34
 word=gas,f=34
 word=green,f=34
 word=heart,f=34
 word=hour,f=34
 word=job,f=34
 word=join,f=34
 word=kept,f=34
 word=let,f=34
 word=little,f=34
 word=mass,f=34
 word=meat,f=34
 word=offer,f=34
 word=pay,f=34
 word=put,f=34
 word=reach,f=34
 word=reason,f=34
 word=scale,f=34
 word=street,f=34
 word=travel,f=34
 word=wing,f=34
 word=ball,f=34
 word=bank,f=34
 word=big,f=34
 word=break,f=34
 word=claim,f=34
 word=dead,f=34
 word=develop,f=34
 word=drive,f=34
 word=enemy,f=34
 word=floor,f=34
 word=follow,f=34
 word=forward,f=34
 word=ice,f=34
 word=machine,f=34
 word=necessary,f=34
 word=occur,f=34
 word=piece,f=34
 word=press,f=34
 word=quite,f=34
 word=read,f=34
 word=receive,f=34
 word=sense,f=34
 word=share,f=34
 word=simple,f=34
 word=spring,f=34
 word=stone,f=34
 word=store,f=34
 word=twenty,f=34
 word=basic,f=34
 word=believe,f=34
 word=bought,f=34
 word=bring,f=34
 word=broke,f=34
 word=camp,f=34
 word=cell,f=34
 word=chart,f=34
 word=felt,f=34
 word=fish,f=34
 word=gun,f=34
 word=kind,f=34
 word=matter,f=34
 word=morning,f=34
 word=mountain,f=34
 word=port,f=34
 word=question,f=34
 word=sign,f=34
 word=stand,f=34
 word=tree,f=34
 word=visit,f=34
 word=winter,f=34
 word=rise,f=33
 word=weight,f=33
 word=begin,f=33
 word=box,f=33
 word=carry,f=33
 word=condition,f=33
 word=dark,f=33
 word=deep,f=33
 word=heard,f=33
 word=hope,f=33
 word=knew,f=33
 word=lake,f=33
 word=nation,f=33
 word=perhaps,f=33
 word=search,f=33
 word=silver,f=33
 word=supply,f=33
 word=table,f=33
 word=temperature,f=33
 word=test,f=33
 word=toward,f=33
 word=wall,f=33
 word=write,f=33
 word=bar,f=33
 word=block,f=33
 word=captain,f=33
 word=card,f=33
 word=contain,f=33
 word=electric,f=33
 word=equal,f=33
 word=foot,f=33
 word=forest,f=33
 word=girl,f=33
 word=horse,f=33
 word=kill,f=33
 word=lot,f=33
 word=mind,f=33
 word=minute,f=33
 word=page,f=33
 word=rail,f=33
 word=represent,f=33
 word=ring,f=33
 word=shape,f=33
 word=speech,f=33
 word=stay,f=33
 word=animal,f=33
 word=beat,f=33
 word=bit,f=33
 word=boat,f=33
 word=door,f=33
 word=edge,f=33
 word=enter,f=33
 word=farm,f=33
 word=fast,f=33
 word=finish,f=33
 word=flat,f=33
 word=flow,f=33
 word=hundred,f=33
 word=key,f=33
 word=motion,f=33
 word=note,f=33
 word=nothing,f=33
 word=object,f=33
 word=operate,f=33
 word=opposite,f=33
 word=pair,f=33
 word=protect,f=33
 word=require,f=33
 word=rich,f=33
 word=steel,f=33
 word=straight,f=33
 word=try,f=33
 word=valley,f=33
 word=yard,f=33
 word=bottom,f=33
 word=boy,f=33
 word=chance,f=33
 word=draw,f=33
 word=dry,f=33
 word=eye,f=33
 word=glass,f=33
 word=gold,f=33
 word=heat,f=33
 word=huge,f=33
 word=iron,f=33
 word=master,f=33
 word=nor,f=33
 word=plane,f=33
 word=save,f=33
 word=sell,f=33
 word=send,f=33
 word=step,f=33
 word=weather,f=33
 word=why,f=33
 word=yellow,f=33
 word=caught,f=32
 word=able,f=32
 word=ago,f=32
 word=busy,f=32
 word=corner,f=32
 word=describe,f=32
 word=determine,f=32
 word=element,f=32
 word=hot,f=32
 word=map,f=32
 word=measure,f=32
 word=path,f=32
 word=pattern,f=32
 word=picture,f=32
 word=proper,f=32
 word=solution,f=32
 word=spot,f=32
 word=stood,f=32
 word=talk,f=32
 word=wood,f=32
 word=arm,f=32
 word=bad,f=32
 word=body,f=32
 word=consider,f=32
 word=evening,f=32
 word=grow,f=32
 word=hair,f=32
 word=hill,f=32
 word=mark,f=32
 word=poem,f=32
 word=ship,f=32
 word=shop,f=32
 word=skin,f=32
 word=slow,f=32
 word=song,f=32
 word=speak,f=32
 word=symbol,f=32
 word=trip,f=32
 word=wave,f=32
 word=wind,f=32
 word=am,f=32
 word=bird,f=32
 word=broad,f=32
 word=brown,f=32
 word=cold,f=32
 word=die,f=32
 word=dog,f=32
 word=earth,f=32
 word=favor,f=32
 word=feel,f=32
 word=learn,f=32
 word=leg,f=32
 word=moment,f=32
 word=mouth,f=32
 word=planet,f=32
 word=raise,f=32
 word=soil,f=32
 word=tell,f=32
 word=wear,f=32
 word=wheel,f=32
 word=wild,f=32
 word=add,f=32
 word=choose,f=32
 word=column,f=32
 word=drop,f=32
 word=fly,f=32
 word=garden,f=32
 word=indicate,f=32
 word=instrument,f=32
 word=lay,f=32
 word=pick,f=32
 word=print,f=32
 word=ready,f=32
 word=rose,f=32
 word=safe,f=32
 word=snow,f=32
 word=steam,f=32
 word=string,f=32
 word=suit,f=32
 word=tail,f=32
 word=thing,f=32
 word=thousand,f=32
 word=walk,f=32
 word=window,f=32
 word=buy,f=31
 word=colony,f=31
 word=correct,f=31
 word=crowd,f=31
 word=else,f=31
 word=fit,f=31
 word=grand,f=31
 word=mine,f=31
 word=phrase,f=31
 word=pitch,f=31
 word=row,f=31
 word=seem,f=31
 word=segment,f=31
 word=shore,f=31
 word=tall,f=31
 word=answer,f=31
 word=baby,f=31
 word=bear,f=31
 word=bed,f=31
 word=chair,f=31
 word=circle,f=31
 word=copy,f=31
 word=fair,f=31
 word=fear,f=31
 word=feed,f=31
 word=fruit,f=31
 word=inch,f=31
 word=mix,f=31
 word=ride,f=31
 word=sentence,f=31
 word=shall,f=31
 word=soft,f=31
 word=spoke,f=31
 word=stream,f=31
 word=suggest,f=31
 word=tie,f=31
 word=usual,f=31
 word=vary,f=31
 word=watch,f=31
 word=coat,f=31
 word=count,f=31
 word=doctor,f=31
 word=exact,f=31
 word=exercise,f=31
 word=fresh,f=31
 word=hole,f=31
 word=parent,f=31
 word=prove,f=31
 word=rain,f=31
 word=roll,f=31
 word=root,f=31
 word=soldier,f=31
 word=tone,f=31
 word=wrong,f=31
 word=beauty,f=31
 word=clean,f=31
 word=decide,f=31
 word=fill,f=31
 word=liquid,f=31
 word=neck,f=31
 word=organ,f=31
 word=oxygen,f=31
 word=spend,f=31
 word=sugar,f=31
 word=sun,f=31
 word=thick,f=31
 word=tool,f=31
 word=agree,f=30
 word=arrive,f=30
 word=catch,f=30
 word=clock,f=30
 word=connect,f=30
 word=dress,f=30
 word=drink,f=30
 word=eat,f=30
 word=experiment,f=30
 word=guide,f=30
 word=happy,f=30
 word=noise,f=30
 word=ocean,f=30
 word=plain,f=30
 word=quick,f=30
 word=salt,f=30
 word=sand,f=30
 word=seed,f=30
 word=shell,f=30
 word=sing,f=30
 word=slave,f=30
 word=teach,f=30
 word=thin,f=30
 word=truck,f=30
 word=tube,f=30
 word=warm,f=30
 word=wish,f=30
 word=ask,f=30
 word=bone,f=30
 word=check,f=30
 word=danger,f=30
 word=dream,f=30
 word=jump,f=30
 word=lie,f=30
 word=milk,f=30
 word=prepare,f=30
 word=sight,f=30
 word=skill,f=30
 word=spell,f=30
 word=surprise,f=30
 word=touch,f=30
 word=trouble,f=30
 word=wire,f=30
 word=bright,f=30
 word=desert,f=30
 word=discuss,f=30
 word=lift,f=30
 word=notice,f=30
 word=paint,f=30
 word=select,f=30
 word=sharp,f=30
 word=shoulder,f=30
 word=sit,f=30
 word=sleep,f=30
 word=teeth,f=30
 word=cat,f=30
 word=collect,f=30
 word=cotton,f=30
 word=distant,f=30
 word=dollar,f=30
 word=fun,f=30
 word=grass,f=30
 word=happen,f=30
 word=hat,f=30
 word=moon,f=30
 word=nose,f=30
 word=push,f=30
 word=sat,f=30
 word=settle,f=30
 word=sky,f=30
 word=stretch,f=30
 word=throw,f=30
 word=differ,f=29
 word=pull,f=29
 word=silent,f=29
 word=substance,f=29
 word=bell,f=29
 word=blow,f=29
 word=cent,f=29
 word=continent,f=29
 word=cool,f=29
 word=flower,f=29
 word=quiet,f=29
 word=sheet,f=29
 word=strange,f=29
 word=sudden,f=29
 word=bat,f=29
 word=bread,f=29
 word=egg,f=29
 word=remember,f=29
 word=sail,f=29
 word=solve,f=29
 word=stick,f=29
 word=tiny,f=29
 word=verb,f=29
 word=climb,f=29
 word=corn,f=29
 word=crop,f=29
 word=ease,f=29
 word=fat,f=29
 word=gather,f=29
 word=log,f=29
 word=meant,f=29
 word=burn,f=28
 word=ear,f=28
 word=finger,f=28
 word=gray,f=28
 word=hunt,f=28
 word=lady,f=28
 word=plural,f=28
 word=vowel,f=28
 word=anger,f=28
 word=cloud,f=28
 word=depend,f=28
 word=divide,f=28
 word=melody,f=28
 word=molecule,f=28
 word=mount,f=28
 word=observe,f=28
 word=pound,f=28
 word=repeat,f=28
 word=rope,f=28
 word=triangle,f=28
 word=expect,f=28
 word=fraction,f=28
 word=instant,f=28
 word=pretty,f=28
 word=listen,f=28
 word=locate,f=28
 word=miss,f=28
 word=chord,f=27
 word=compare,f=27
 word=loud,f=27
 word=noun,f=27
 word=slip,f=27
 word=afraid,f=27
 word=atom,f=27
 word=probable,f=27
 word=reply,f=27
 word=suffix,f=27
 word=swim,f=27
 word=dictionary,f=27
 word=neighbor,f=27
 word=pose,f=27
 word=shoe,f=27
 word=consonant,f=27
 word=duck,f=27
 word=insect,f=27
 word=noon,f=27
 word=syllable,f=27
 word=apple,f=26
 word=arrange,f=26
 word=cook,f=26
 word=cow,f=26
 word=gentle,f=26
 word=joy,f=26
 word=lone,f=26
 word=cry,f=26
 word=tire,f=26
 word=govern,f=26
 word=oh,f=26
 word=smell,f=26
 word=wonder,f=26
 word=decimal,f=26
 word=magnet,f=26
 word=guess,f=25
 word=laugh,f=25
 word=wash,f=25
 word=imagine,f=25
 word=paragraph,f=25
 word=dad,f=25
 word=thank,f=25
 word=years,f=24
 word=used,f=24
 word=going,f=24
 word=became,f=24
 word=later,f=24
 word=smile,f=24
 word=dear,f=24
 word=quotient,f=24
 word=glad,f=24
 word=being,f=23
 word=including,f=23
 word=called,f=23
 word=I'll,f=23
 word=population,f=23
 word=film,f=23
 word=series,f=23
 word=album,f=23
 word=based,f=23
 word=it's,f=23
 word=released,f=23
 word=following,f=23
 word=located,f=23
 word=multiply,f=23
 word=shine,f=23
 word=numeral,f=23
 word=shout,f=23
 word=invent,f=23
 word=I've,f=22
 word=around,f=22
 word=can't,f=22
 word=didn't,f=22
 word=government,f=22
 word=named,f=22
 word=that's,f=22
 word=won,f=22
 word=you're,f=22
 word=along,f=22
 word=built,f=22
 word=career,f=22
 word=former,f=22
 word=local,f=22
 word=another,f=22
 word=due,f=22
 word=member,f=22
 word=members,f=22
 word=public,f=22
 word=within,f=22
 word=different,f=22
 word=however,f=22
 word=published,f=22
 word=received,f=22
 word=served,f=22
 word=become,f=22
 word=died,f=22
 word=included,f=22
 word=service,f=22
 word=students,f=22
 word=average,f=22
 word=building,f=22
 word=given,f=22
 word=km,f=22
 word=moved,f=22
 word=national,f=22
 word=nice,f=22
 word=non,f=22
 word=using,f=22
 word=various,f=22
 word=although,f=22
 word=created,f=22
 word=established,f=22
 word=games,f=22
 word=having,f=22
 word=living,f=22
 word=political,f=22
 word=popular,f=22
 word=produced,f=22
 word=species,f=22
 word=started,f=22
 word=title,f=22
 word=version,f=22
 word=what's,f=22
 word=without,f=22
 word=chick,f=22
 word=crease,f=22
 word=fig,f=22
 word=hurry,f=22
 word=stead,f=22
 word=American,f=21
 word=appeared,f=21
 word=club,f=21
 word=community,f=21
 word=considered,f=21
 word=continued,f=21
 word=development,f=21
 word=district,f=21
 word=himself,f=21
 word=important,f=21
 word=married,f=21
 word=military,f=21
 word=player,f=21
 word=production,f=21
 word=returned,f=21
 word=television,f=21
 word=times,f=21
 word=amount,f=21
 word=areas,f=21
 word=available,f=21
 word=days,f=21
 word=developed,f=21
 word=election,f=21
 word=formed,f=21
 word=founded,f=21
 word=income,f=21
 word=joined,f=21
 word=making,f=21
 word=others,f=21
 word=program,f=21
 word=thou,f=21
 word=usually,f=21
 word=works,f=21
 word=States,f=21
 word=addition,f=21
 word=business,f=21
 word=currently,f=21
 word=elected,f=21
 word=families,f=21
 word=football,f=21
 word=further,f=21
 word=largest,f=21
 word=opened,f=21
 word=playing,f=21
 word=recorded,f=21
 word=seen,f=21
 word=worked,f=21
 word=OK,f=21
 word=away,f=21
 word=church,f=21
 word=education,f=21
 word=eventually,f=21
 word=forces,f=21
 word=international,f=21
 word=originally,f=21
 word=release,f=21
 word=schools,f=21
 word=services,f=21
 word=sorry,f=21
 word=style,f=21
 word=taken,f=21
 word=throughout,f=21
 word=working,f=21
 word=UK,f=21
 word=across,f=21
 word=announced,f=21
 word=described,f=21
 word=designed,f=21
 word=events,f=21
 word=featured,f=21
 word=features,f=21
 word=followed,f=21
 word=groups,f=21
 word=includes,f=21
 word=information,f=21
 word=median,f=21
 word=months,f=21
 word=photo,f=21
 word=remained,f=21
 word=research,f=21
 word=return,f=21
 word=sold,f=21
 word=songs,f=21
 word=upon,f=21
 word=video,f=21
 word=aircraft,f=21
 word=almost,f=21
 word=appointed,f=21
 word=completed,f=21
 word=construction,f=21
 word=countries,f=21
 word=daughter,f=21
 word=females,f=21
 word=involved,f=21
 word=itself,f=21
 word=killed,f=21
 word=leading,f=21
 word=official,f=21
 word=older,f=21
 word=performance,f=21
 word=performed,f=21
 word=players,f=21
 word=points,f=21
 word=project,f=21
 word=provided,f=21
 word=replaced,f=21
 word=shows,f=21
 word=signed,f=21
 word=social,f=21
 word=sometimes,f=21
 word=states,f=21
 word=successful,f=21
 word=training,f=21
 word=units,f=21
 word=British,f=21
 word=John,f=21
 word=action,f=21
 word=added,f=21
 word=attack,f=21
 word=below,f=21
 word=census,f=21
 word=central,f=21
 word=changed,f=21
 word=county,f=21
 word=decided,f=21
 word=episode,f=21
 word=generally,f=21
 word=households,f=21
 word=instead,f=21
 word=introduced,f=21
 word=mid,f=21
 word=model,f=21
 word=outside,f=21
 word=parts,f=21
 word=private,f=21
 word=professional,f=21
 word=stage,f=21
 word=systems,f=21
 word=teams,f=21
 word=populate,f=21
 word=rub,f=21
 word=female,f=20
 word=league,f=20
 word=September,f=20
 word=South,f=20
 word=allowed,f=20
 word=battle,f=20
 word=beginning,f=20
 word=books,f=20
 word=college,f=20
 word=court,f=20
 word=data,f=20
 word=debut,f=20
 word=director,f=20
 word=higher,f=20
 word=lived,f=20
 word=movement,f=20
 word=owned,f=20
 word=placed,f=20
 word=president,f=20
 word=previous,f=20
 word=primary,f=20
 word=reached,f=20
 word=related,f=20
 word=reported,f=20
 word=runs,f=20
 word=significant,f=20
 word=standard,f=20
 word=traditional,f=20
 word=whom,f=20
 word=winning,f=20
 word=April,f=20
 word=August,f=20
 word=January,f=20
 word=July,f=20
 word=June,f=20
 word=March,f=20
 word=October,f=20
 word=active,f=20
 word=approximately,f=20
 word=army,f=20
 word=awarded,f=20
 word=buildings,f=20
 word=campaign,f=20
 word=characters,f=20
 word=earlier,f=20
 word=entire,f=20
 word=films,f=20
 word=finished,f=20
 word=future,f=20
 word=independent,f=20
 word=leader,f=20
 word=let's,f=20
 word=lower,f=20
 word=maybe,f=20
 word=network,f=20
 word=northern,f=20
 word=novel,f=20
 word=numerous,f=20
 word=operations,f=20
 word=particularly,f=20
 word=police,f=20
 word=referred,f=20
 word=regular,f=20
 word=required,f=20
 word=rights,f=20
 word=route,f=20
 word=running,f=20
 word=southern,f=20
 word=stated,f=20
 word=taking,f=20
 word=terms,f=20
 word=text,f=20
 word=today,f=20
 word=via,f=20
 word=writing,f=20
 word=December,f=20
 word=English,f=20
 word=November,f=20
 word=St,f=20
 word=according,f=20
 word=activities,f=20
 word=already,f=20
 word=appearance,f=20
 word=appears,f=20
 word=associated,f=20
 word=attended,f=20
 word=caused,f=20
 word=centre,f=20
 word=changes,f=20
 word=closed,f=20
 word=coach,f=20
 word=coming,f=20
 word=commercial,f=20
 word=companies,f=20
 word=competition,f=20
 word=contains,f=20
 word=contract,f=20
 word=couldn't,f=20
 word=culture,f=20
 word=date,f=20
 word=defeated,f=20
 word=density,f=20
 word=directed,f=20
 word=economic,f=20
 word=ended,f=20
 word=forced,f=20
 word=fourth,f=20
 word=goal,f=20
 word=highest,f=20
 word=individuals,f=20
 word=issue,f=20
 word=issues,f=20
 word=known,f=20
 word=larger,f=20
 word=limited,f=20
 word=lines,f=20
 word=location,f=20
 word=longer,f=20
 word=majority,f=20
 word=media,f=20
 word=miles,f=20
 word=mostly,f=20
 word=movie,f=20
 word=municipality,f=20
 word=names,f=20
 word=organization,f=20
 word=previously,f=20
 word=programs,f=20
 word=races,f=20
 word=rate,f=20
 word=recent,f=20
 word=remains,f=20
 word=role,f=20
 word=shown,f=20
 word=spent,f=20
 word=structure,f=20
 word=themselves,f=20
 word=theory,f=20
 word=tour,f=20
 word=towards,f=20
 word=uses,f=20
 word=western,f=20
 word=February,f=20
 word=French,f=20
 word=access,f=20
 word=additional,f=20
 word=attempt,f=20
 word=becoming,f=20
 word=believed,f=20
 word=cases,f=20
 word=claimed,f=20
 word=collection,f=20
 word=entered,f=20
 word=evidence,f=20
 word=feature,f=20
 word=finally,f=20
 word=forms,f=20
 word=health,f=20
 word=hence,f=20
 word=hours,f=20
 word=household,f=20
 word=housing,f=20
 word=husband,f=20
 word=increased,f=20
 word=individual,f=20
 word=magazine,f=20
 word=mainly,f=20
 word=males,f=20
 word=meaning,f=20
 word=musical,f=20
 word=nearly,f=20
 word=noted,f=20
 word=offered,f=20
 word=opening,f=20
 word=operated,f=20
 word=park,f=20
 word=passed,f=20
 word=personal,f=20
 word=plays,f=20
 word=problems,f=20
 word=provides,f=20
 word=railway,f=20
 word=recently,f=20
 word=relationship,f=20
 word=religious,f=20
 word=scored,f=20
 word=source,f=20
 word=stations,f=20
 word=status,f=20
 word=takes,f=20
 word=turned,f=20
 word=variety,f=20
 word=German,f=20
 word=London,f=20
 word=West,f=20
 word=actually,f=20
 word=alone,f=20
 word=annual,f=20
 word=anti,f=20
 word=artists,f=20
 word=author,f=20
 word=carried,f=20
 word=cities,f=20
 word=command,f=20
 word=complex,f=20
 word=consists,f=20
 word=decision,f=20
 word=directly,f=20
 word=eastern,f=20
 word=failed,f=20
 word=helped,f=20
 word=highly,f=20
 word=houses,f=20
 word=increase,f=20
 word=influence,f=20
 word=launched,f=20
 word=legal,f=20
 word=loss,f=20
 word=makes,f=20
 word=management,f=20
 word=manager,f=20
 word=news,f=20
 word=numbers,f=20
 word=policy,f=20
 word=products,f=20
 word=quickly,f=20
 word=recording,f=20
 word=represented,f=20
 word=results,f=20
 word=shot,f=20
